,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,time
0,-0.98,0.0,-0.0,-1.53,1.59,-1.22,-238.0,537.72,-785.0,3.7024173736572266
1,-0.98,0.0,-0.0,-1.46,1.46,-1.34,-241.52,537.72,-778.16,3.8084301948547363
2,-0.98,0.0,0.0,-1.59,1.53,-1.22,-241.52,537.72,-781.58,3.9140546321868896
3,-0.98,0.0,-0.0,-1.59,1.59,-1.22,-243.29,525.3,-779.87,4.017296075820923
4,-0.98,0.0,-0.0,-1.53,1.53,-1.28,-230.95,523.53,-767.9,4.124340057373047
5,-0.98,0.0,0.0,-1.59,1.46,-1.28,-246.81,528.85,-776.45,4.227736711502075
6,-0.98,0.01,-0.0,-1.53,1.53,-1.28,-248.58,519.98,-781.58,4.333972215652466
7,-0.98,0.01,-0.0,-1.53,1.53,-1.28,-238.0,537.72,-778.16,4.4374916553497314
8,-0.98,0.0,-0.0,-1.59,1.46,-1.22,-238.0,527.08,-798.68,4.543644428253174
9,-0.98,0.01,0.0,-1.53,1.46,-1.22,-241.52,537.72,-781.58,4.6468846797943115
10,-0.98,0.0,-0.0,-1.59,1.53,-1.22,-252.1,541.27,-795.26,4.7537925243377686
11,-0.98,0.0,-0.0,-1.53,1.46,-1.28,-245.05,544.82,-791.84,4.8459179401397705
12,-0.98,0.0,-0.0,-1.59,1.53,-1.28,-238.0,541.27,-781.58,4.958624601364136
13,-0.98,0.0,-0.0,-1.59,1.59,-1.28,-215.08,535.95,-779.87,5.062713384628296
14,-0.98,0.0,-0.0,-1.59,1.46,-1.34,-246.81,539.5,-762.77,5.171130657196045
15,-0.98,0.0,-0.0,-1.53,1.53,-1.28,-245.05,527.08,-761.06,5.2670722007751465
16,-0.98,0.0,0.0,-1.59,1.53,-1.28,-238.0,544.82,-795.26,5.380817890167236
17,-0.98,0.0,-0.0,-1.46,1.53,-1.34,-252.1,548.37,-771.32,5.487865924835205
18,-0.98,0.0,-0.0,-1.53,1.46,-1.22,-229.18,535.95,-790.13,5.583848237991333
19,-0.98,0.0,-0.0,-1.53,1.53,-1.28,-236.24,532.4,-783.29,5.697683095932007
20,-0.98,0.01,-0.0,-1.59,1.59,-1.22,-238.0,534.18,-778.16,5.7938759326934814
21,-0.98,0.01,-0.0,-1.59,1.53,-1.22,-255.63,527.08,-788.42,5.9064154624938965
22,-0.98,0.0,-0.0,-1.46,1.59,-1.28,-238.0,537.72,-788.42,6.011555433273315
23,-0.98,0.0,-0.0,-1.59,1.4,-1.22,-248.58,534.18,-781.58,6.116601467132568
24,-0.98,0.0,-0.0,-1.53,1.46,-1.16,-246.81,550.15,-779.87,6.221499919891357
25,-0.98,0.01,-0.0,-1.59,1.53,-1.22,-234.47,541.27,-771.32,6.325246095657349
26,-0.98,0.0,-0.0,-1.46,1.53,-1.28,-239.76,535.95,-786.71,6.431841135025024
27,-0.98,0.0,-0.0,-1.65,1.53,-1.28,-225.66,553.7,-790.13,6.536430597305298
28,-0.98,0.01,-0.0,-1.53,1.65,-1.16,-239.76,543.05,-779.87,6.641087055206299
29,-0.98,0.0,-0.0,-1.53,1.65,-1.28,-245.05,548.37,-791.84,6.745136976242065
30,-0.98,0.01,-0.0,-1.53,1.53,-1.28,-234.47,537.72,-771.32,6.852370500564575
31,-0.98,0.0,-0.0,-1.53,1.53,-1.28,-230.95,537.72,-781.58,6.943718910217285
32,-0.98,0.0,0.0,-1.65,1.46,-1.22,-234.47,537.72,-788.42,7.056337833404541
33,-0.98,0.0,-0.0,-1.53,1.59,-1.34,-243.29,535.95,-783.29,7.153716325759888
34,-0.98,0.0,-0.0,-1.46,1.46,-1.16,-238.0,541.27,-781.58,7.270314455032349
35,-0.98,0.0,-0.0,-1.53,1.59,-1.22,-243.29,539.5,-783.29,7.366594076156616
36,-0.98,0.01,-0.0,-1.53,1.46,-1.28,-248.58,527.08,-788.42,7.479412317276001
37,-0.98,0.0,-0.0,-1.53,1.46,-1.28,-236.24,539.5,-766.19,7.576613903045654
38,-0.98,0.0,-0.0,-1.59,1.59,-1.22,-239.76,525.3,-773.03,7.689823389053345
39,-0.98,0.0,-0.0,-1.53,1.46,-1.34,-239.76,546.6,-786.71,7.791056394577026
40,-0.98,0.0,-0.0,-1.53,1.53,-1.28,-246.81,528.85,-773.03,7.888105392456055
41,-0.98,0.0,-0.0,-1.59,1.53,-1.22,-229.18,543.05,-779.87,8.001195669174194
42,-0.98,0.0,-0.0,-1.53,1.59,-1.34,-238.0,537.72,-771.32,8.10875654220581
